comment_author,comment_likes,comment_text,video_id
@stanwilliamson2375,2,Absolutely agree. Getting real tired of I'm black and can do anything I want to white people!!!,5X5V59MHXNk
@chensuen3973,1,I never heard the judgment from the judge.,5X5V59MHXNk
@x-man4350,1,Who raised this kid😢,5X5V59MHXNk
@JohnDoe-is9rb,1,We in Germany say: “Stupidity is no excuse…” 🤷‍♂️😒,5X5V59MHXNk
@CharmaineGentz,1,"I agree,all of them , That had a part of it.",5X5V59MHXNk
@jamesgoodwin5963,1,Yep that simple,5X5V59MHXNk
@John-d5y2d,1,vile vile creature,5X5V59MHXNk
@steviep5165,1,"I agree 100%, poor woman RIP 🙏🏾",5X5V59MHXNk
@dougellison1377,1,Throw away the key,5X5V59MHXNk
@dz1enix_editz,1,I dont understand why people kill peoples,5X5V59MHXNk
@jesusballesteross.c.3538,1,Salute to the judge ❤,5X5V59MHXNk
@MegTelevised,1,"I drive around looking for donuts.

Y’all drive around looking for cars to steal.

We are not the same",5X5V59MHXNk
@defman85,1,No remorse at all in his face. Enjoy your new home.,5X5V59MHXNk
@andreklaver7933,0,No grace!!!,5X5V59MHXNk
@claudioferreira9199,0,I agree,5X5V59MHXNk
@migdaliatalavera197,0,👋 bye for a long time,5X5V59MHXNk
@SamSneed001,0,where's moder eFFing .BLM,5X5V59MHXNk
@andreklaver7933,0,No remorse!!!,5X5V59MHXNk
@kakhaberkhetsuriani3374,0,Do i agree??? Yes sir 100%,5X5V59MHXNk
@generalgrant3189,0,Absolutely agree. Punk. Family dancing in court. No there's no culture issue there is there.,5X5V59MHXNk
@MagaPatriotChuck,1,"Wow, major screw up and this could have ended very bad if she was a Muslim terrorist!",uKyDCijwm9g
@bignutz2006,1,"Funny, France send back and old white grandma when she lands illegally, but won’t do the same for the 50k illegal immigrants that land there every month.",uKyDCijwm9g
@whychry,1,"I’m a 60 year old white male I would have checked her to the max ,she stands out as a suspect to me 
If it looks like a duck you gotta check 
She looks like she has fractured a few laws in her time",uKyDCijwm9g
@jtra3440,0,I hate to say it but she got away simply because she is white. No way she could get away if she was black or brown.,uKyDCijwm9g
@Kensi-p1r,0,"Yt privilege at work.
Get away with anything.",uKyDCijwm9g
@Gurlhmong,0,👏 she is white 👏 There is white prejudice and this is one of the many examples!!!!,uKyDCijwm9g
@13udwick,0,Dont they hire people to try things like this to tighten loop holes in securities?,uKyDCijwm9g
@CatsInHats-S.CrouchingTiger,0,"She appears to be a senior citizen. It’s possible she doesn’t remember the rules or she doesn’t understand the process required for boarding flights. People are given options these days to print boarding passes from their printers at home and some people don’t know how to or don’t have a printer or just ignore that final step. The older people become, the more challenging these new steps we have technologically or digitally are for them. Hopefully airlines and other customer service points will remain professional and continue to maintain dignity to Senior travelers.",uKyDCijwm9g
@BrittneyAnderson3-gun,0,"Two different people😅 definitely not the same woman, look at the socks and she’s doesn’t walk the same as the first person",uKyDCijwm9g
@reiniergarcia,0,She’s insane,uKyDCijwm9g
@Thisisit2714,0,Why,uKyDCijwm9g
@jayescalade7657,0,It just goes to show you the morons that work at TSA and airlines employees that are just as clueless and inept before 911.,uKyDCijwm9g
@MH-Tesla,0,"So it's okay for them to deport this woman back to America, but it's not okay for America to deport am illegal to Elsalvador? Oh wait, that guy was a terrorist gang member, human trafficker... So obviously he should get to stay.",uKyDCijwm9g
@ChukCarroll-fk5zs,0,This lady approached me in times square and accused me of being justin beeber.,uKyDCijwm9g
@ValinPrezkowski,0,Getting lax. Better tighten up!,uKyDCijwm9g
@keithhinckley1110,0,How many illagal got on without id,uKyDCijwm9g
@josephescott3263,0,"I remember when a while a three man team of tsa workers held up the line behind us because my lady only had a temporary printed license which they said was acceptable but had to wait thirty minutes, many people including ourselves almost missed our flights, only for a supervisor to get there finally to say yeah that’s perfectly acceptable…. Was frustrating to say the least, then they wanted to swab her and search her, she was giving attitude, was such a pain but we made it, flown three times since and she has been randomly selected every time….",uKyDCijwm9g
@jcmc0823,0,If she were black………,uKyDCijwm9g
@TradBarbie,0,0ld phone; who dat?,uKyDCijwm9g
@markgadbury9389,0,DEI is insidious.,uKyDCijwm9g
@theholidaylady1,2,"Thank you, Jimmy and Guillermo!",0y7hSzUYlJM
@aussiedave1248,1,"How can so many Americans be angry about Trump, yet he was reelected, don't tell me you wanted more of the disaster of 2016 to 2020.
If he cheated, I would be happier than to know you wanted him back.
Did Musk rig the election or are the American people so gullible?",0y7hSzUYlJM
@HabsAndHeavyMetal,1,That old angry Canadian guy. He’s my favourite person of the whole year. Elbows up.,0y7hSzUYlJM
@AUTOTUB3,1,"Jimmy Kimmel says a lot of truth in a sarcastic way for us to get a laugh. Even though it's tough, we need to laugh we can't be sad and keep learning most importantly.",0y7hSzUYlJM
@randomnickify,1,"Ironically, if the Jesus returned today he would be deported to El Salvador 🤣",0y7hSzUYlJM
@carolynwilson1174,1,Gold decor is so tacky. Embarrassing.,0y7hSzUYlJM
@Irene-eu4iz,1,It’s good they’ve cut so many jobs and necessary services to afford trumps gold redecorating,0y7hSzUYlJM
@drindabell3350,1,I absolutely LOVE that guy. WAKE UP Maga nut jobs in the Gold house and get out of this country which you have betrayed. Try El Salvador or Russia they are the only ones that want you. God bless Canada and Ukraine.,0y7hSzUYlJM
@melvoid01,1,"Where does he, tRump, get the idea that other countries go to their prisons wake up the crims and go ""Hey who wants shotgun on a trip to America all expenses paid?"" as if.
He is so far divorced from reality the Judge has excused him paying alimony on account of diminished responsibility.

And Elbows Up Canada!",0y7hSzUYlJM
@KerryCahill-n2u,1,The White House is the same color as Donalds hair.,0y7hSzUYlJM
@GreatWhiteNorth2023,1,"Canuck here. Let’s be totally accurate. We don’t hate Americans, we don’t hate the USA! We despise the arrogance to erase a country at a whim.",0y7hSzUYlJM
@gabrielreinert8458,1,"""United"" States of America?? and ""El Salvador""??? What a disgrace their current governments are to their country's names.",0y7hSzUYlJM
@judymills226,1,👍🏼🇨🇦👍🏼,0y7hSzUYlJM
@Lobster_Dance,1,"6:02 Trump’s Gold-Guy is just Goldmember from Austin Powers walking around, “I loooovve gold!”",0y7hSzUYlJM
@ayayaworenwu5251,1,Trump ends America's leadership of the world. Bye! Bye! USA leadership. Your vote matters.,0y7hSzUYlJM
@ShowMeThatOne,1,Pimped out the White House. A total home makeover by Paula White and The Prosperity Gospels.,0y7hSzUYlJM
@user-fj5xj8fj6f,1,@5:45 He also likes gold yellow shower!,0y7hSzUYlJM
@tgv73,0,"All that gold in the oval office reminds me of when president Obama predicted this in the 2011 White House correspondents dinner. He said that Donald Trump would certainly bring change to the White House, and then they showed an image of the White House with golden pillars!!!",0y7hSzUYlJM
@kmo3811,0,"Omg. Fake gold?? Our poor Whitehouse. He has trash taste, just look at his orange makeup, comb over hair, giant suits and 3 ft. ties!",0y7hSzUYlJM
@BadassBenny,0,thanks for the satire humor and laughs. I love British Columbia Canada. Been to the World fair in 85 . Best thing ever,0y7hSzUYlJM
@zenbra_deutsch3500,16,"There's a Turkish saying that goes ""When you put a clown in a throne, the clown doesn't turn into a king. The palace turns into a circus."" You, Americans, turned your country in a Ringling Brothers show.",5zQ0WewZY50
@EstellaGarcia-yu4mq,3,"What an idiot. Send trump
 to el salvador for all his crimes",5zQ0WewZY50
