comment_author,comment_likes,comment_text,video_id
@tyffen123,2,Blacks do so much violence against White folks,5X5V59MHXNk
@JohnDoe-ew5sf,2,Never relax,5X5V59MHXNk
@olega.kondratyuk2130,1,Kilometers?😂,5X5V59MHXNk
@Choppaslit666,1,🥷 be doing too much fuccccccc em,5X5V59MHXNk
@AndreasGlasauer,1,Einverstanden zu 100 %,5X5V59MHXNk
@irmamendoza9905,1,"Vulgarly Gross murder. Diabolical, no remorse from the young man. How was he raised to become this monster? Yes life in prison.",5X5V59MHXNk
@PERUANO31,1,deport back to A,5X5V59MHXNk
@Boyleheights213por-vida,0,GOOD DECISION,5X5V59MHXNk
@James-yl6jj,0,Totally agree!!,5X5V59MHXNk
@BUNZALOT,0,This is bullshit! Stop adding stories together for your own benefit! He killed another boy not some 70 year old. Do your research,5X5V59MHXNk
@MikeMorales-n4m,0,The no remorse is the biggest part for me  life it is I agree,5X5V59MHXNk
@kumarsaurabh2461,0,Demon 👿,5X5V59MHXNk
@evelynsaba5022,0,"I agree with the judge. These kids,  They  have no respect for life anyone s life . Yes judge life. That boy says he loves his family. Weii dosent he think that  thos people also love  there 73yr old grandmother.  It works both ways  .",5X5V59MHXNk
@dennismichaels70,0,Sub 80 IQ race and culture. The family should be in jail as well. They raised these monsters.,5X5V59MHXNk
@scottkendall6587,0,what happened to the other teens?  Did they plea out or did they get life too?,5X5V59MHXNk
@mantlecollector,0,Black people want others to respect them and not look down on them like they are so criminal or up to no good or uneducated or they are less then but how can u respect someone when they act like this and have no respect for others and want to play the race card that black lives matters,5X5V59MHXNk
@Krulfar,0,Someone willing to end another person's life for no reason and then laugh about it shouldn't be allowed to live.,5X5V59MHXNk
@ScottMurraycrotchetyoldbastard,0,rope,5X5V59MHXNk
@tammybushnell6920,0,All 3 were involved in the crime and all 3 should be sentenced the same.,5X5V59MHXNk
@riverbluesky,0,💯 agree with the judge,5X5V59MHXNk
@lesliejones873,1,This is sad... someone she knew got her that job it's now way that woman had an interview panel. Ridiculous,M5o6Nq6jEdA
@haulolo6816,0,She should go work for FOX so she can make stuff up and they would all agree with her 😂,M5o6Nq6jEdA
@RaielGaming,0,What a moron,M5o6Nq6jEdA
@GO-xs8pj,0,This female host is another bimbo that should have have TV time.,M5o6Nq6jEdA
@gerry4915,0,A result of all those chemicals in the american cereals 😅😅😅,M5o6Nq6jEdA
@ADSNavarro,0,"Americans pride themselves waving the constitution around, but they don't know what it actually says",M5o6Nq6jEdA
@CaptchaNeon,0,"There’s a reason why she’s a Senator and they’re a news anchor. 2 different worlds, 2 different intelligence levels.",M5o6Nq6jEdA
@MossTunic,0,Separation of power is vital for democracy.,M5o6Nq6jEdA
@ejonbul,0,"Trump followers Trump included think president is like a King, good luck USA",M5o6Nq6jEdA
@briandfallon74,0,"Yea.  Let Teleprompter Barbie argue the law with a Harvard law professor…

Smdh…",M5o6Nq6jEdA
@bikingmomma524,0,I would have loved to have Senator Warren as my professor in college.,M5o6Nq6jEdA
@doejam,0,Fire her right now,M5o6Nq6jEdA
@joefarang,0,I'm so angry at Warren for insisting on talking facts over the SUPER PRETTY hostess when she tried to interrupt /s,M5o6Nq6jEdA
@janetbrock-hughes4720,0,"WHAT EMERGENCY...
WHERE ARE OUR COURTS
   NOW!!!",M5o6Nq6jEdA
@maddogmattis1775,0,She is the dumbest anchorwoman on CNBC. 😂,M5o6Nq6jEdA
@janetbrock-hughes4720,0,How did these newscaster get their jobs...?????,M5o6Nq6jEdA
@janetbrock-hughes4720,0,LISTEN & LEARN CHILDREN!!,M5o6Nq6jEdA
@Musicmann41,0,"The ignorance displayed is why propaganda exist,  it's like placing a loaded gun in the hands of someone who doesn't have a clue how that weapon works.",M5o6Nq6jEdA
@Kttires,0,Why don’t they teach Civics in school like my husband and I? We know the constitution!! We know it said Treason in our Constitution. Now it does not! He acted on Treason!,M5o6Nq6jEdA
@rizingpho3nix,0,The 3 branches of U.S government conducts checks and balances on each other that way no branch has complete power and authority.,M5o6Nq6jEdA
@neilmartin99,1,"Does this pathetic channel ever talk about anything besides Trump?🤣😅😆😂😁
I thought it was a news channel. 
Guess not.",oZCEKb3NNJ0
@neilmartin99,1,"LOL For 3 weeks the democrats have been crying and telling President Trump to back off his demands. Then when he does, the leftist media calls him a coward. 🤣😂😅😆
No wonder nobody watches MSNBC and CNN.",oZCEKb3NNJ0
@AmazeJourneys,1,"Trump’s a clueless leader, making snap decisions based on his own whims, screwing over the economy and American businesses.",oZCEKb3NNJ0
@garybou8559,1,"Flipflops made in California for $60 is BEAUTIFULL , BEAUTIFULL , just BEAUTIFULL future of America?",oZCEKb3NNJ0
@JackDespero,1,"Literally like a child throwing a tantrum at the supermarket.
Crying, yelling, rolling on the floor. You are just looking at them.
Crying more, yelling more. You are just looking at them.
They stand up, clean their nose with their tiny shirt.
""Are you done?"" And they nod.
And you continue your day.
The same child will be laughing in two minutes, even if the eyes are still red and the nose is still running.
Now children do this because they do not understand concepts like boundaries yet.
They don't do it out of malice, they literally don't know better (yet).
You wait until they get tired, and then you teach them why what they did was wrong.

What we are seeing is adults in other countries waiting for Donald to get tired.
And now that he got tired and is listening, now it is time to actually teach him and negotiate.

Why is the President of the US a manchild? That I don't know, y'all who voted for him will have to figure that out.",oZCEKb3NNJ0
@FredJones-lo2df,1,"Is this a Great cuntry , or What ?",oZCEKb3NNJ0
@FPSDAVE23,1,IMPEACH TRUMP = SAVE WHATS LEFT OF AMERICA!,oZCEKb3NNJ0
@LatifahHjtuah-m7u,0,Is that the reason why you let man play woman sport? Is that why your candidate is kamala harris? Sick msnbc reporters,oZCEKb3NNJ0
@LatifahHjtuah-m7u,0,This man look like pain. Nothing you say will change my love for Trump,oZCEKb3NNJ0
@edwardlee8343,0,Trump is a POS...a waste of a human being..can you even call him human ?,oZCEKb3NNJ0
@Rastathagv3,0,It’s insane that democrats can’t accept anything their party does. All they care about is being against anything the American people want lol.. insane,oZCEKb3NNJ0
@jessicareid8358,0,We love ❤ you Lawrence,oZCEKb3NNJ0
@valeriem3610,0,"😅😅🤣🤣🤣😂😂😂 i hope this is not true representation of white nationalist strong man🤣🤣🤣.. i mean where is common sense anymore?? Yet republicans wont even stop him even when his answer to 1x3 is 4, somewhat republicans will try make 4 be the right answer.",oZCEKb3NNJ0
@RichardCohen-v7y,0,"Lawrence might be right—Trump talks about never backing down, but the reality is different. When it comes to real action, does he ever follow through? And what about those Trump Tariffs that are still hurting American businesses?",oZCEKb3NNJ0
@NetWit20,0,"Larry must not recall Nixon's firings. Trump makes deals, that's what he's always done. People get uptight because you don't play with their money and he backs off. So what if he didn't Larry? You'd be saying Trump never admits he was wrong even if it means driving the economy in the ground. I'm getting the feeling no matter what Trump does, Larry will disagree with it. Now go ahead and shadow ban me again if you want.",oZCEKb3NNJ0
